0.ogg	Звук включения.
101.ogg	Верхняя крышка базы автоочистки не закрыта или мешок не установлен. Закройте крышку или установите мешок.
102.ogg	Мешок заполнен или воздуховод заблокирован. Замените мешок или вовремя очистите воздуховод.
103.ogg	Поддон для промывки салфетки установлен. Робот возобновляет работу.
104.ogg	Поддон для промывки салфетки не установлен. Убедитесь, что он установлен и защёлки по бокам плотно застёгнуты.
105.ogg	Начинаю уборку.
106.ogg	Начинаю очистку салфетки.
107.ogg	Начинаю отжим салфетки.
108.ogg	Уровень воды в поддоне для промывки салфетки ненормальный. Очистите его вовремя, чтобы избежать засора.
109.ogg	Неисправность бака для грязной воды. Убедитесь, что бак установлен, и своевременно сливайте грязную воду.
110.ogg	Запускаю автоочистку контейнера.
111.ogg	Моющие салфетки сняты. Установите их, прежде чем продолжить работу.
112.ogg	Перед использованием поставьте робота на базу самоочистки.
113.ogg	Задание выполнено. Своевременно очистите контейнер для мусора.
114.ogg	Моющие салфетки установлены.
115.ogg	Моющие салфетки сняты.
116.ogg	Детский замок включён. Кнопки заблокированы.
117.ogg	Детский замок выключен. Кнопки разблокированы.
118.ogg	Кнопки заблокированы. Нажмите и удерживайте кнопку «База», чтобы разблокировать.
119.ogg	Кнопки заблокированы.
120.ogg	Кнопки разблокированы.
121.ogg	Робот и телефон подключены. Вернитесь в приложение Fantic и дождитесь завершения подключения к сети.
122.ogg	Непрерывное позиционирование. Подождите.
126.ogg	Начинаю уборку.
127.ogg	Начинаю точечную уборку.
128.ogg	Начинаю точечное мытьё пола.
129.ogg	Начинаю уборку по расписанию.
130.ogg	Начинаю мытьё пола по расписанию.
131.ogg	Начинаю точечную уборку.
132.ogg	Начинаю точечное мытьё пола.
133.ogg	Начинаю уборку выбранной комнаты.
134.ogg	Начинаю мытьё пола в выбранной комнате.
135.ogg	Начинаю уборку по зонам.
136.ogg	Начинаю мытьё пола по зонам.
137.ogg	Возобновляю уборку.
138.ogg	Возобновляю мытьё пола.
139.ogg	Возобновляю возвращение на базу для самоочистки.
140.ogg	Обнаружена новая обстановка. Возвращаюсь на базу самоочистки.
141.ogg	Ошибка моющей салфетки. Проверьте и очистите её.
142.ogg	Моющая салфетка изношена. Замените её вовремя.
143.ogg	Уборка завершена.
144.ogg	Мытьё пола завершено.
145.ogg	Позиционирование успешно. Возобновляю уборку.
146.ogg	Позиционирование успешно. Возобновляю мытьё пола.
148.ogg	Возвращаюсь на базу для самоочистки.
149.ogg	Не могу добраться до указанной зоны. Уберите препятствия на пути.
150.ogg	Не могу добраться до указанной зоны. Удалите запретные зоны на пути.
151.ogg	Путь заблокирован. Уберите препятствия вокруг робота.
152.ogg	Путь заблокирован. Удалите запретные зоны или переместите робота из этой области.
153.ogg	Робот находится в запретной зоне. Переместите его из этой области.
154.ogg	Слишком частые операции. Попробуйте позже.
155.ogg	Начинаю возвращение на базу зарядки и мойки салфетки.
156.ogg	Лоток для салфетки снят.
157.ogg	Я уже на базе зарядки и мойки салфетки.
162.ogg	Камера включена.
163.ogg	Ведётся наблюдение камерой.
164.ogg	Задача завершена.
166.ogg	Удалите посторонние предметы, запутавшиеся в салфетке.
169.ogg	Сушка салфетки завершена.
170.ogg	Все кнопки заблокированы. Нажмите и удерживайте кнопки на базовой станции, чтобы разблокировать.
171.ogg	Функция распознавания ИИ включена.
172.ogg	Функция распознавания ИИ выключена.
173.ogg	Замените стерилизатор с серебряными ионами.
177.ogg	Покидаю базовую станцию.
179.ogg	Салфетка очищена. В баке с чистой водой недостаточно воды. Заполните бак с чистой водой и опорожните бак с использованной водой.
181.ogg	Недостаточно воды. Заполните бак с чистой водой.
186.ogg	Проверьте бак с чистой водой.
187.ogg	Это займёт примерно от пяти до десяти минут.
188.ogg	Автоматическая стыковка включена.
200.ogg	Звук выключения.
244.ogg	Флакон с моющим средством установлен.
257.ogg	Режим наблюдения камерой завершён.
258.ogg	Позиционирование выполнено. Патрулирование начато.
259.ogg	Позиционирование выполнено. Следую к указанной точке.
260.ogg	Позиционирование выполнено. Патрулирование возобновлено.
261.ogg	Позиционирование выполнено. Возобновляю движение к указанной точке.
262.ogg	Не удалось выполнить позиционирование.
263.ogg	Удалите посторонние предметы, запутавшиеся в основной щётке. Переместите робота и запустите снова.
264.ogg	Задача завершена. Очистите контейнер для пыли и поддон для промывки.
266.ogg	Замените моющее средство.
267.ogg	Очистите датчики.
274.ogg	Звук «динь».
280.ogg	Начинаю пользовательскую уборку.
281.ogg	Робот выполняет автоочистку контейнера. Попробуйте позже.
282.ogg	Робот очищает моющую салфетку. Попробуйте позже.
283.ogg	Робот не на базовой станции. Попробуйте позже.
293.ogg	Звонки включены.
294.ogg	Звонки отключены.
